Epoch: 0 | Error: 2.0083 | Accuracy: 49.79%
Epoch: 1000 | Error: 1.9886 | Accuracy: 50.29%
Epoch: 2000 | Error: 1.5495 | Accuracy: 61.26%
Epoch: 3000 | Error: 1.4554 | Accuracy: 63.61%
Epoch: 4000 | Error: 1.4290 | Accuracy: 64.28%
Epoch: 5000 | Error: 1.4158 | Accuracy: 64.60%
Epoch: 6000 | Error: 1.4078 | Accuracy: 64.81%
Epoch: 7000 | Error: 1.4022 | Accuracy: 64.95%
Epoch: 8000 | Error: 1.3981 | Accuracy: 65.05%
Epoch: 9000 | Error: 1.3949 | Accuracy: 65.13%
Epoch: 10000 | Error: 1.3923 | Accuracy: 65.19%
Epoch: 11000 | Error: 1.3902 | Accuracy: 65.24%
Epoch: 12000 | Error: 1.3885 | Accuracy: 65.29%
Epoch: 13000 | Error: 1.3870 | Accuracy: 65.33%
Epoch: 14000 | Error: 1.3857 | Accuracy: 65.36%
Epoch: 15000 | Error: 1.3846 | Accuracy: 65.39%
Epoch: 16000 | Error: 1.3836 | Accuracy: 65.41%
Epoch: 17000 | Error: 1.3827 | Accuracy: 65.43%
Epoch: 18000 | Error: 1.3819 | Accuracy: 65.45%
Epoch: 19000 | Error: 1.3812 | Accuracy: 65.47%
Epoch: 20000 | Error: 1.3805 | Accuracy: 65.49%
Epoch: 21000 | Error: 1.3800 | Accuracy: 65.50%
Epoch: 22000 | Error: 1.3795 | Accuracy: 65.51%
Epoch: 23000 | Error: 1.3790 | Accuracy: 65.52%
Epoch: 24000 | Error: 1.3786 | Accuracy: 65.53%
Epoch: 25000 | Error: 1.3782 | Accuracy: 65.54%
Epoch: 26000 | Error: 1.3779 | Accuracy: 65.55%
Epoch: 27000 | Error: 1.3776 | Accuracy: 65.56%
Epoch: 28000 | Error: 1.3774 | Accuracy: 65.57%
Epoch: 29000 | Error: 1.3772 | Accuracy: 65.57%
Epoch: 30000 | Error: 1.3770 | Accuracy: 65.57%
Epoch: 31000 | Error: 1.3769 | Accuracy: 65.58%
Epoch: 32000 | Error: 1.3768 | Accuracy: 65.58%
Epoch: 33000 | Error: 1.3768 | Accuracy: 65.58%
Epoch: 34000 | Error: 1.3768 | Accuracy: 65.58%
Epoch: 35000 | Error: 1.3769 | Accuracy: 65.58%
Epoch: 36000 | Error: 1.3771 | Accuracy: 65.57%
Epoch: 37000 | Error: 1.3774 | Accuracy: 65.57%
Epoch: 38000 | Error: 1.3778 | Accuracy: 65.55%
Epoch: 39000 | Error: 1.3784 | Accuracy: 65.54%
Epoch: 40000 | Error: 1.3793 | Accuracy: 65.52%
Epoch: 41000 | Error: 1.3805 | Accuracy: 65.49%
Epoch: 42000 | Error: 1.3825 | Accuracy: 65.44%
Epoch: 43000 | Error: 1.3857 | Accuracy: 65.36%
Epoch: 44000 | Error: 1.3743 | Accuracy: 65.64%
Epoch: 45000 | Error: 1.3103 | Accuracy: 67.24%
Epoch: 46000 | Error: 1.3021 | Accuracy: 67.45%
Epoch: 47000 | Error: 1.2954 | Accuracy: 67.62%
Epoch: 48000 | Error: 1.2894 | Accuracy: 67.76%
Epoch: 49000 | Error: 1.2840 | Accuracy: 67.90%
Epoch: 50000 | Error: 1.2791 | Accuracy: 68.02%
Epoch: 51000 | Error: 1.2746 | Accuracy: 68.13%
Epoch: 52000 | Error: 1.2704 | Accuracy: 68.24%
Epoch: 53000 | Error: 1.2665 | Accuracy: 68.34%
Epoch: 54000 | Error: 1.2629 | Accuracy: 68.43%
Epoch: 55000 | Error: 1.2594 | Accuracy: 68.51%
Epoch: 56000 | Error: 1.2562 | Accuracy: 68.59%
Epoch: 57000 | Error: 1.2531 | Accuracy: 68.67%
Epoch: 58000 | Error: 1.2502 | Accuracy: 68.74%
Epoch: 59000 | Error: 1.2475 | Accuracy: 68.81%
Epoch: 60000 | Error: 1.2448 | Accuracy: 68.88%
Epoch: 61000 | Error: 1.2423 | Accuracy: 68.94%
Epoch: 62000 | Error: 1.2399 | Accuracy: 69.00%
Epoch: 63000 | Error: 1.2376 | Accuracy: 69.06%
Epoch: 64000 | Error: 1.2353 | Accuracy: 69.12%
Epoch: 65000 | Error: 1.2332 | Accuracy: 69.17%
Epoch: 66000 | Error: 1.2311 | Accuracy: 69.22%
Epoch: 67000 | Error: 1.2291 | Accuracy: 69.27%
Epoch: 68000 | Error: 1.2272 | Accuracy: 69.32%
Epoch: 69000 | Error: 1.2254 | Accuracy: 69.37%
Epoch: 70000 | Error: 1.2236 | Accuracy: 69.41%
Epoch: 71000 | Error: 1.2218 | Accuracy: 69.45%
Epoch: 72000 | Error: 1.2201 | Accuracy: 69.50%
Epoch: 73000 | Error: 1.2185 | Accuracy: 69.54%
Epoch: 74000 | Error: 1.2169 | Accuracy: 69.58%
Epoch: 75000 | Error: 1.2153 | Accuracy: 69.62%
Epoch: 76000 | Error: 1.2138 | Accuracy: 69.66%
Epoch: 77000 | Error: 1.2123 | Accuracy: 69.69%
Epoch: 78000 | Error: 1.2109 | Accuracy: 69.73%
Epoch: 79000 | Error: 1.2095 | Accuracy: 69.76%
Epoch: 80000 | Error: 1.2081 | Accuracy: 69.80%
Epoch: 81000 | Error: 1.2068 | Accuracy: 69.83%
Epoch: 82000 | Error: 1.2055 | Accuracy: 69.86%
Epoch: 83000 | Error: 1.2042 | Accuracy: 69.90%
Epoch: 84000 | Error: 1.2029 | Accuracy: 69.93%
